_URI,_CREATOR_URI_USER,_CREATION_DATE,_LAST_UPDATE_URI_USER,_LAST_UPDATE_DATE,_MODEL_VERSION,_UI_VERSION,_IS_COMPLETE,_SUBMISSION_DATE,_MARKED_AS_COMPLETE_DATE,ATRIBUTOSDELAMUESTRA_PAIS,ATRIBUTOSDELAMUESTRA_COORDENADA_LAT,ATRIBUTOSDELAMUESTRA_FECHAHORA,ATRIBUTOSDELAMUESTRA_COORDENADA_ACC,ATRIBUTOSDELAMUESTRA_COORDENADA_LNG,ATRIBUTOSDELAMUESTRA_FECHAHORA_RAW,ATRIBUTOSDELAMUESTRA_COORDENADA_ALT,ATRIBUTOSDELAMUESTRA_CODIGOMUESTRA,ATRIBUTOSDELAMUESTRA_LUGAR,META_INSTANCE_ID,_URI,_CREATOR_URI_USER,_CREATION_DATE,_LAST_UPDATE_URI_USER,_LAST_UPDATE_DATE,_PARENT_AURI,_ORDINAL_NUMBER,_TOP_LEVEL_AURI,MEDICIONES_A,MEDICIONES_B,MEDICIONES_CODIGOCLASTO
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:9e981268-d256-4106-996f-922ceb15a01a,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,21,uuid:27bc3379-0fa7-4527-9649-42902f71089a,112,100,032
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:435909c9-768a-4ee4-8688-f08a6462fc07,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,22,uuid:27bc3379-0fa7-4527-9649-42902f71089a,230,200,002
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:0aeed2cc-1325-4cda-9378-5a01f1048bca,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,23,uuid:27bc3379-0fa7-4527-9649-42902f71089a,215,150,035
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:624cce52-8ba4-4244-b49b-af86cf51386a,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,24,uuid:27bc3379-0fa7-4527-9649-42902f71089a,211,128,045
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:b639814f-01f4-4522-bac8-df778cab287b,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,25,uuid:27bc3379-0fa7-4527-9649-42902f71089a,135,125,047
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:a6f0c918-9ae8-40af-a921-5db93173f277,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,26,uuid:27bc3379-0fa7-4527-9649-42902f71089a,156,120,023
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:c9a0853a-2a4b-4730-b275-bda4d197c796,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,27,uuid:27bc3379-0fa7-4527-9649-42902f71089a,119,64,022
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:fd52e3c9-7841-4c4c-b1b1-61c62a2e3567,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,28,uuid:27bc3379-0fa7-4527-9649-42902f71089a,202,142,015
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:6c711033-7751-4e9b-bf31-2809d79af014,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,29,uuid:27bc3379-0fa7-4527-9649-42902f71089a,170,159,041
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:32cb211c-69a0-493b-b491-74cd7b7d1eed,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,30,uuid:27bc3379-0fa7-4527-9649-42902f71089a,116,88,042
